number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
119,0.4344789225616764,2025-12-22 13:04:28.920426,2025-12-22 13:04:34.541845,0 days 00:00:05.621419,0.005653562074050992,0.03414963563522554,15907,random,0.00046147621822177246,0.7720600962638855,0.03990817070007324,1.0981539487838745,0.4344789225616764,COMPLETE
120,0.4419697645042207,2025-12-22 13:04:34.541987,2025-12-22 13:04:38.500938,0 days 00:00:03.958951,0.015974362459332144,0.059019156710049245,14866,random,7.994793619842904e-05,0.7544291615486145,0.06621366739273071,1.0830053091049194,0.4419697645042207,COMPLETE
121,0.4457113195861144,2025-12-22 13:04:38.501093,2025-12-22 13:04:46.452617,0 days 00:00:07.951524,0.00888080462922934,0.0769221093597738,19067,random,2.6355761859591948e-05,0.7566190958023071,0.06562590599060059,1.0833461284637451,0.4457113195861144,COMPLETE
122,0.4455799809470949,2025-12-22 13:04:46.452780,2025-12-22 13:04:52.245342,0 days 00:00:05.792562,0.008868063877605312,0.07823445266322475,19820,random,0.00011356830221354132,0.7565961480140686,0.06570285558700562,1.0833015441894531,0.4455799809470949,COMPLETE
123,0.44552026454308846,2025-12-22 13:04:52.245499,2025-12-22 13:04:57.126444,0 days 00:00:04.880945,0.009801378743147746,0.07396974194677042,19570,random,0.0002163024043981759,0.7560688853263855,0.06658607721328735,1.082789421081543,0.44552026454308846,COMPLETE
124,0.4437097901065203,2025-12-22 13:04:57.126596,2025-12-22 13:05:02.029996,0 days 00:00:04.903400,0.009129005862279684,0.1066427045012994,19222,random,0.00021638871628414886,0.7566707134246826,0.06521481275558472,1.0835844278335571,0.4437097901065203,COMPLETE
125,0.42293533192857385,2025-12-22 13:05:02.030151,2025-12-22 13:05:05.126294,0 days 00:00:03.096143,0.021890778034476747,0.08709079241832818,19695,random,0.00012401152523522526,0.7592407464981079,0.04829668998718262,1.0933459997177124,0.42293533192857385,COMPLETE
126,0.4445515768799527,2025-12-22 13:05:05.126436,2025-12-22 13:05:13.414625,0 days 00:00:08.288189,0.007619632051383028,0.07162685643389265,19044,random,5.5807371081605124e-05,0.7595248818397522,0.06121116876602173,1.085902452468872,0.4445515768799527,COMPLETE
127,0.43530744813315,2025-12-22 13:05:13.414787,2025-12-22 13:05:27.332067,0 days 00:00:13.917280,0.0036927731487403116,0.07545639086946491,19444,random,6.0404532094130705e-05,0.7747474312782288,0.03552025556564331,1.1006605625152588,0.43530744813315,COMPLETE
128,0.4450650326698765,2025-12-22 13:05:27.332233,2025-12-22 13:05:33.635714,0 days 00:00:06.303481,0.007032834992018981,0.1308366336825439,18777,random,0.00010520418289953131,0.7573814392089844,0.06464684009552002,1.0839135646820068,0.4450650326698765,COMPLETE
