number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
77,0.7349975996154461,2025-12-22 01:35:22.540352,2025-12-22 01:45:43.572843,0 days 00:10:21.032491,16,128,0.485081732498278,256,4,0.00022919529004055257,8,0.0017345985561758013,0.8057687383571652,0.7349975996154461,0.40011540055274963,PRUNED
78,0.7104353835516894,2025-12-22 01:45:43.573026,2025-12-22 01:49:13.179505,0 days 00:03:29.606479,32,256,0.3505014941734877,512,3,0.0006133405473317309,4,5.12371549703219e-05,0.7661108644533241,0.7104353835516894,0.2714022696018219,PRUNED
79,0.740700808624837,2025-12-22 01:49:13.179682,2025-12-22 02:03:12.303447,0 days 00:13:59.123765,16,256,0.05558970824935427,1024,3,0.00016861152510861101,8,0.0006114352501141175,0.814250829827269,0.740700808624837,0.5221253633499146,PRUNED
80,0.7040107550969844,2025-12-22 02:03:12.303631,2025-12-22 02:06:40.293774,0 days 00:03:27.990143,32,128,0.4558404394441197,256,2,9.127911967886852e-05,4,0.00015267104422980228,0.7541288751700177,0.7040107550969844,0.2935031056404114,PRUNED
81,0.7434554973816998,2025-12-22 02:06:40.293963,2025-12-22 02:44:39.141844,0 days 00:37:58.847881,32,256,0.21530250695077957,512,2,0.00011830506170197548,8,0.001020652569590971,0.7940062451402543,0.726738491674334,0.42947670817375183,COMPLETE
82,0.7109905020347932,2025-12-22 02:44:39.142122,2025-12-22 02:48:05.943177,0 days 00:03:26.801055,32,256,0.25870091767714964,512,2,7.995720734264341e-05,8,0.00036040792428683786,0.7660997061248651,0.7109905020347932,0.3310402035713196,PRUNED
83,0.7421093148570848,2025-12-22 02:48:05.943347,2025-12-22 03:29:31.876545,0 days 00:41:25.933198,32,256,0.28963596470294295,512,2,0.000135474941209188,8,2.660476588616059e-05,0.7849591898818626,0.7212719826542892,0.12476067245006561,COMPLETE
84,0.7154095326232971,2025-12-22 03:29:31.876788,2025-12-22 03:33:01.910822,0 days 00:03:30.034034,32,256,0.27311773012975804,512,2,0.00010714863429511805,8,0.0036461893291893283,0.7688352584386328,0.7154095326232971,0.4107745587825775,PRUNED
85,0.7123600639702697,2025-12-22 03:33:01.911001,2025-12-22 03:36:30.288260,0 days 00:03:28.377259,32,256,0.237905068288204,1536,3,6.807203876925393e-05,8,0.0002578870562582607,0.7629310344827586,0.7123600639702697,0.3439320921897888,PRUNED
86,0.6623164763453971,2025-12-22 03:36:30.288438,2025-12-22 03:39:56.861777,0 days 00:03:26.573339,16,384,0.025138564173021682,1024,3,0.0013547469847996643,8,0.0006341751805979752,0.6211298218660954,0.6623164763453971,0.5337477922439575,PRUNED
87,0.7436274509798976,2025-12-22 03:39:56.861962,2025-12-22 04:18:07.731762,0 days 00:38:10.869800,32,128,0.09682867620664498,512,2,0.00017735450017346388,8,0.0017503285323212771,0.7828853558097305,0.7165336373997419,0.10126405209302902,COMPLETE
88,0.7426181102357255,2025-12-22 04:18:07.732018,2025-12-22 05:00:15.471784,0 days 00:42:07.739766,16,256,0.3090759521635813,256,3,0.00010234253751306104,4,8.557158337496007e-05,0.7893367783204249,0.7194771241825075,0.30325737595558167,COMPLETE
89,0.7111004555257602,2025-12-22 05:00:15.472044,2025-12-22 05:03:45.774669,0 days 00:03:30.302625,32,128,0.25066679958482235,512,3,0.0002039345437310045,8,7.527510529684153e-06,0.7695825728051569,0.7111004555257602,0.4540558457374573,PRUNED
90,0.7313171707068269,2025-12-22 05:03:45.774846,2025-12-22 05:10:50.669423,0 days 00:07:04.894577,64,256,0.37196187314464474,1024,3,0.0002924663493013797,8,0.00016338454909503353,0.8001763603176952,0.7313171707068269,0.45062142610549927,PRUNED
91,0.7229322401731264,2025-12-22 05:10:50.669601,2025-12-22 05:21:26.532969,0 days 00:10:35.863368,64,256,0.013475370217217258,512,2,0.00038690003200515674,8,1.0159556806107591e-08,0.7862167041351591,0.7229322401731264,0.36105793714523315,PRUNED
92,0.7145650048870913,2025-12-22 05:21:26.533152,2025-12-22 05:24:56.735962,0 days 00:03:30.202810,64,256,0.04698279304395701,512,2,0.0005535613522193843,8,1.1134537949535002e-06,0.7727860408136418,0.7145650048870913,0.5989640951156616,PRUNED
93,0.7343105817677221,2025-12-22 05:24:56.736142,2025-12-22 05:35:28.927487,0 days 00:10:32.191345,64,256,0.07312747960274538,512,2,0.0002506862153012831,8,8.183037615629864e-08,0.8060280226737235,0.7343105817677221,0.4446116089820862,PRUNED
94,0.6958174904938053,2025-12-22 05:35:28.927666,2025-12-22 05:39:00.940969,0 days 00:03:32.013303,64,256,0.2924793250894908,1536,1,1.0144257058928027e-05,8,3.470980037512119e-06,0.7321493172277544,0.6958174904938053,0.41609811782836914,PRUNED
95,0.7261431411525856,2025-12-22 05:39:00.941149,2025-12-22 05:45:56.334746,0 days 00:06:55.393597,16,128,0.21938596079162068,512,2,0.00033856331628633735,4,0.0004671245798804248,0.8005689572953152,0.7261431411525856,0.3722388446331024,PRUNED
96,0.6953073364172321,2025-12-22 05:45:56.334932,2025-12-22 05:49:26.802376,0 days 00:03:30.467444,32,256,0.4652829802747746,256,3,1.7922326927321795e-05,8,3.378517667764835e-08,0.7439809627170882,0.6953073364172321,0.39515188336372375,PRUNED
97,0.705293276108235,2025-12-22 05:49:26.802552,2025-12-22 05:52:56.130064,0 days 00:03:29.327512,32,128,0.49875541956935465,512,3,0.00016304283209031493,8,0.00034744251501982214,0.7605299383825357,0.705293276108235,0.2899969518184662,PRUNED
98,0.71158900836271,2025-12-22 05:52:56.130239,2025-12-22 05:56:23.438812,0 days 00:03:27.308573,16,256,0.17962265032413127,1024,2,0.00046185955219199955,4,1.747519594586377e-05,0.7665031677907215,0.71158900836271,0.46899276971817017,PRUNED
99,0.6915222037515866,2025-12-22 05:56:23.439001,2025-12-22 05:59:55.937661,0 days 00:03:32.498660,64,256,0.11861083605272471,256,1,1.317631099659614e-05,8,3.1670884924419604e-07,0.7326975435233538,0.6915222037515866,0.41502565145492554,PRUNED
100,0.663724949438789,2025-12-22 05:59:55.937840,2025-12-22 06:03:23.901914,0 days 00:03:27.964074,32,384,0.03427397186949743,1536,3,0.0009152727660445536,8,0.0001251215657010129,0.6821749813832099,0.663724949438789,0.5417258143424988,PRUNED
101,0.747363374879661,2025-12-22 06:03:23.902095,2025-12-22 06:45:03.749671,0 days 00:41:39.847576,32,256,0.34916779638095663,512,2,0.00013561563103309482,8,0.0008857260769871198,0.789223726834723,0.7211201866972937,0.05897626280784607,COMPLETE
102,0.7511289513291572,2025-12-22 06:45:03.749931,2025-12-22 07:26:41.558635,0 days 00:41:37.808704,32,256,0.3315566329251975,512,2,0.00012655872106487532,8,5.262438421494877e-05,0.7914433532773774,0.7244796828538157,0.2669341564178467,COMPLETE
