number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
69,0.644314868804228,2025-12-18 14:22:34.614633,2025-12-18 14:22:34.948482,0 days 00:00:00.333849,1.7860366513422082e-07,0.9355899428620065,200,0.8859408219264191,5.30471206280581,0.005706600328138839,11,310,427,0.6811453461365862,0.4752688172043011,0.5,0.5065354108810425,COMPLETE
70,0.644314868804228,2025-12-18 14:22:34.948716,2025-12-18 14:22:35.247393,0 days 00:00:00.298677,0.002862519572050996,0.8993885307601368,149,1.754574696931317,23.864546485299066,0.012337540282219813,15,368,816,0.8719868337475952,0.4752688172043011,0.5,0.5056920051574707,COMPLETE
71,0.8733031674203144,2025-12-18 14:22:35.247619,2025-12-18 14:22:36.064612,0 days 00:00:00.816993,0.009014774185518876,0.671666468393165,173,3.2186384181683594,0.1299702861270663,0.009638174562336533,13,21,522,0.7336175835199797,0.9400676990115561,0.9492433795712485,0.5109877586364746,COMPLETE
72,0.8772727272722272,2025-12-18 14:22:36.064853,2025-12-18 14:22:36.809620,0 days 00:00:00.744767,0.0048918059913431265,0.7220690560637483,160,2.695435211642644,0.2605948950049213,0.023128925052268965,12,49,645,0.7461335919482596,0.9359418962277283,0.946869668422224,0.5391132235527039,COMPLETE
73,0.8709677419349839,2025-12-18 14:22:36.809853,2025-12-18 14:22:37.725838,0 days 00:00:00.915985,0.00048760102328390377,0.772385989779262,158,1.2435308822139133,0.07440071644703143,0.007447897243366324,14,24,608,0.7131495734280522,0.9341525213261939,0.9444217787997923,0.5523492097854614,COMPLETE
74,0.8708971553605508,2025-12-18 14:22:37.726073,2025-12-18 14:22:38.428912,0 days 00:00:00.702839,0.0012443873868704758,0.659695305470581,172,0.576080534461531,1.023018962625112,0.03399679786395265,13,63,748,0.7770517987435253,0.9262303425373655,0.9426229508196721,0.421188622713089,COMPLETE
75,0.8903225806446625,2025-12-18 14:22:38.429145,2025-12-18 14:22:39.973780,0 days 00:00:01.544635,7.65698316783024e-05,0.6301685000529114,167,2.0367181054609764,0.24355099058843463,0.012105429603430714,10,1,686,0.804778570532573,0.9517105846942788,0.958330242563608,0.3422880470752716,COMPLETE
76,0.8712446351926343,2025-12-18 14:22:39.974011,2025-12-18 14:22:40.738013,0 days 00:00:00.764002,6.664761185542136e-05,0.7273498411351721,165,2.1379640736399628,3.373204118843485,0.011758887209001648,10,45,683,0.7022618299381883,0.9275092716208063,0.9415288183369186,0.38686832785606384,COMPLETE
77,0.8533916849010322,2025-12-18 14:22:40.738243,2025-12-18 14:22:41.467237,0 days 00:00:00.728994,6.162154163707113e-06,0.6303404251290439,180,0.0687263876417521,0.026269756240520546,0.0062437725350345755,11,88,790,0.7969060616911503,0.9113673441672039,0.928065425413545,0.4277561604976654,COMPLETE
78,0.8907563025205109,2025-12-18 14:22:41.467484,2025-12-18 14:22:42.935507,0 days 00:00:01.468023,0.00017947725563384134,0.8530550837429078,190,2.55070485945802,7.856858477500228,0.014586572594794317,10,2,859,0.6631978575173919,0.9515665573184985,0.9573288331726134,0.2840665280818939,COMPLETE
