number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_svm_kind,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
95,0.8806941431665289,2025-12-18 14:46:58.271249,2025-12-18 14:47:05.922498,0 days 00:00:07.651249,6.339379086608014,balanced,6.575263807799402,rbf,,svc,0.918737317911041,0.9231511015503301,0.45155518984501875,COMPLETE
96,0.7648456057002139,2025-12-18 14:47:05.922911,2025-12-18 14:47:13.473082,0 days 00:00:07.550171,0.013916723964605922,balanced,0.360094520813604,rbf,,svc,0.8558139355059242,0.8522364809732215,0.47859657468316097,COMPLETE
97,0.8947368421047636,2025-12-18 14:47:13.473307,2025-12-18 14:47:16.369066,0 days 00:00:02.895759,1.5854990290166655,balanced,,linear,,svc,0.9421562491013253,0.9548994881685335,0.4131706540919106,COMPLETE
98,0.644314868804228,2025-12-18 14:47:16.369272,2025-12-18 14:47:22.532333,0 days 00:00:06.163061,4.050871526758885,,0.8748975863796987,sigmoid,,svc,0.4752688172043011,0.5,0.5,COMPLETE
99,0.9009009009004009,2025-12-18 14:47:22.532543,2025-12-18 14:47:26.413477,0 days 00:00:03.880934,1.1327783402574718,balanced,0.12871924491361356,rbf,,svc,0.9428079082736746,0.9535457310288554,0.5292002796933963,COMPLETE
100,0.9227272727267728,2025-12-18 14:47:26.413698,2025-12-18 14:47:33.360454,0 days 00:00:06.946756,14.240502876440994,balanced,0.5385713737440612,rbf,,svc,0.954096044702352,0.95274831243973,0.5680881330821538,COMPLETE
101,0.9227272727267728,2025-12-18 14:47:33.360670,2025-12-18 14:47:40.127636,0 days 00:00:06.766966,15.641274890115822,balanced,0.5541326080770708,rbf,,svc,0.9527637517344341,0.9523588754543431,0.5682929831391309,COMPLETE
102,0.928735632183408,2025-12-18 14:47:40.127855,2025-12-18 14:47:45.994765,0 days 00:00:05.866910,2.8213458149083785,balanced,0.3072204413098993,rbf,,svc,0.9602707319230542,0.9580798902158594,0.5743807249038924,COMPLETE
103,0.9220183486233533,2025-12-18 14:47:45.995040,2025-12-18 14:47:51.575558,0 days 00:00:05.580518,2.8092777560864852,balanced,0.26273822519502754,rbf,,svc,0.9589334385961846,0.9586825903122914,0.5770433557571368,COMPLETE
104,0.9178082191775822,2025-12-18 14:47:51.575776,2025-12-18 14:47:59.158850,0 days 00:00:07.583074,2.0291180471716985,balanced,1.8591388176598431,rbf,,svc,0.9447941223355618,0.9441065202878126,0.4841627006824013,COMPLETE
105,0.9241379310339829,2025-12-18 14:47:59.159209,2025-12-18 14:48:06.448982,0 days 00:00:07.289773,6.496068888562996,balanced,0.9969575428395541,rbf,,svc,0.9486469237065316,0.9487241302573993,0.5611604136593139,COMPLETE
106,0.9078651685388258,2025-12-18 14:48:06.449214,2025-12-18 14:48:14.024569,0 days 00:00:07.575355,6.105651285520396,balanced,2.75478856671212,rbf,,svc,0.935777555482374,0.937337734589422,0.3972959029878594,COMPLETE
107,0.8943820224714101,2025-12-18 14:48:14.024794,2025-12-18 14:48:41.741105,0 days 00:00:27.716311,3.7362879746731226,balanced,,,19354.0,linear_calibrated,0.9453056047921728,0.9545100511831467,0.47718783882815274,COMPLETE
108,0.8237791932054466,2025-12-18 14:48:41.741326,2025-12-18 14:48:47.238219,0 days 00:00:05.496893,0.6764309951022023,balanced,0.0019181770879456482,rbf,,svc,0.8918091919232547,0.9007121133447074,0.3950058776234568,COMPLETE
109,0.644314868804228,2025-12-18 14:48:47.238442,2025-12-18 14:48:53.465449,0 days 00:00:06.227007,4.797643280813912,balanced,1.4797274724167537e-05,poly,,svc,0.30785951882400675,0.1348564646539574,0.5281835793841733,COMPLETE
110,0.9212962962957966,2025-12-18 14:48:53.465667,2025-12-18 14:49:00.671008,0 days 00:00:07.205341,1.5046116297519805,balanced,0.9244959870629835,rbf,,svc,0.952772333286251,0.9512091091165344,0.5723137428631708,COMPLETE
111,0.9174311926600505,2025-12-18 14:49:00.671225,2025-12-18 14:49:08.079130,0 days 00:00:07.407905,6.974206584128319,balanced,1.1953272555993,rbf,,svc,0.9444949166638236,0.9458775313404051,0.5452263488247653,COMPLETE
112,0.9178082191775822,2025-12-18 14:49:08.079347,2025-12-18 14:49:14.133467,0 days 00:00:06.054120,11.457703897970658,balanced,0.37211180106563374,rbf,,svc,0.9582045466453313,0.955010755878644,0.5593355068646833,COMPLETE
113,0.9174311926600505,2025-12-18 14:49:14.133741,2025-12-18 14:49:21.149891,0 days 00:00:07.016150,3.071898270807751,balanced,0.7245939926784352,rbf,,svc,0.9541780468990889,0.9520436169423633,0.5808181752271334,COMPLETE
114,0.8894230769225789,2025-12-18 14:49:21.150115,2025-12-18 14:49:28.787589,0 days 00:00:07.637474,2.3901102439328774,balanced,1.6832860460888053,rbf,,svc,0.9397692660290248,0.9423447815443958,0.5055241869203188,COMPLETE
115,0.9133489461353319,2025-12-18 14:49:28.787978,2025-12-18 14:49:33.688222,0 days 00:00:04.900244,5.067812738419171,balanced,0.18847284198193048,rbf,,svc,0.9551495907382422,0.9586269564572361,0.6728309034816642,COMPLETE
116,0.9153318077798204,2025-12-18 14:49:33.688433,2025-12-18 14:49:39.473942,0 days 00:00:05.785509,11.11036006761375,balanced,0.3208025707574302,rbf,,svc,0.9582755019799194,0.9556598175209554,0.5831089524943255,COMPLETE
117,0.9220183486233533,2025-12-18 14:49:39.474163,2025-12-18 14:49:46.536348,0 days 00:00:07.062185,7.947875858752173,,1.1283112173529524,rbf,,svc,0.9453767568426007,0.9467954899488169,0.5507235906396506,COMPLETE
118,0.8938053097340135,2025-12-18 14:49:46.536565,2025-12-18 14:49:49.414051,0 days 00:00:02.877486,0.393717318309445,balanced,,linear,,svc,0.9301870578818716,0.9492804688079519,0.45823120260459127,COMPLETE
119,0.9227272727267728,2025-12-18 14:49:49.414257,2025-12-18 14:49:55.811476,0 days 00:00:06.397219,1.938835986224267,balanced,0.5753628447099326,rbf,,svc,0.9584172038669057,0.9546584081299607,0.5522218711561641,COMPLETE
120,0.644314868804228,2025-12-18 14:49:55.811689,2025-12-18 14:50:01.991110,0 days 00:00:06.179421,1.140142300107952,balanced,3.607523205104823,sigmoid,,svc,0.4752688172043011,0.5,0.5281837450012131,COMPLETE
121,0.9227272727267728,2025-12-18 14:50:01.991329,2025-12-18 14:50:08.539515,0 days 00:00:06.548186,22.984078447553607,balanced,0.5153182453590998,rbf,,svc,0.9527152331845867,0.9525628662562124,0.5666288985163073,COMPLETE
122,0.9178082191775822,2025-12-18 14:50:08.539729,2025-12-18 14:50:15.651391,0 days 00:00:07.111662,9.37741019301368,balanced,0.7712021026970722,rbf,,svc,0.9505573601654348,0.9498553519768562,0.569239064389441,COMPLETE
