number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
95,0.3720003534594623,2025-12-23 03:59:42.193909,2025-12-23 03:59:42.971802,0 days 00:00:00.777893,64,0.4062289389909178,0.019737493232352837,768,0.00010247131050628663,8,3,3.620420748608328e-07,PRUNED
96,0.38452078294097586,2025-12-23 03:59:42.971956,2025-12-23 03:59:44.163852,0 days 00:00:01.191896,16,0.725702677936068,0.13825454219040176,512,2.677812412241811e-05,8,4,1.3380005469267241e-05,PRUNED
97,0.4366744860981825,2025-12-23 03:59:44.164005,2025-12-23 03:59:46.433794,0 days 00:00:02.269789,32,0.5266925051797992,0.030545893583165333,384,0.0002941066978598515,4,3,0.00017616812578527657,PRUNED
98,0.41437470988884867,2025-12-23 03:59:46.433949,2025-12-23 03:59:47.353594,0 days 00:00:00.919645,16,0.23244691668165032,0.09531342889806946,256,7.508006178312006e-05,8,3,2.2362786876931937e-09,PRUNED
99,0.37084051823863834,2025-12-23 03:59:47.353738,2025-12-23 03:59:48.135173,0 days 00:00:00.781435,32,0.9928446663726729,0.2660387596886894,384,0.00012316271985135394,8,4,6.328294526615824e-08,PRUNED
100,0.005792061565675273,2025-12-23 03:59:48.135323,2025-12-23 03:59:48.720368,0 days 00:00:00.585045,64,0.7726758290464829,0.04754115177871798,256,5.329161596764219e-05,8,3,5.454994991297215e-07,PRUNED
101,0.5202081019724001,2025-12-23 03:59:48.720515,2025-12-23 03:59:51.489729,0 days 00:00:02.769214,16,0.2485210933384459,0.023874129456398982,256,0.00016616261918142244,8,3,1.0719370636252915e-06,PRUNED
102,0.41168723435506216,2025-12-23 03:59:51.489893,2025-12-23 03:59:52.443950,0 days 00:00:00.954057,16,0.2292101335826836,0.18669528780447273,256,0.0001465390772753424,8,3,6.242701911378176e-09,PRUNED
103,0.21689762446758065,2025-12-23 03:59:52.444095,2025-12-23 03:59:53.427012,0 days 00:00:00.982917,16,0.26437296022838513,0.010693885910057974,256,1.4027416757252172e-05,8,3,1.120284339956275e-06,PRUNED
104,0.5266093665741772,2025-12-23 03:59:53.427158,2025-12-23 03:59:58.053065,0 days 00:00:04.625907,16,0.20624602425062216,0.08802996260786657,256,0.00021776503527738748,8,3,2.66974747128433e-06,PRUNED
105,0.3999025805122083,2025-12-23 03:59:58.053219,2025-12-23 03:59:58.991611,0 days 00:00:00.938392,16,0.18404225429366897,0.060378712674190836,256,0.00018844497537529305,8,3,2.334974531378557e-10,PRUNED
106,0.5422825293128662,2025-12-23 03:59:58.991759,2025-12-23 04:00:04.196087,0 days 00:00:05.204328,16,0.46776313006616305,0.10520536317731756,512,9.183149291803226e-05,8,3,1.650797998879907e-06,PRUNED
107,0.40182946224997085,2025-12-23 04:00:04.196245,2025-12-23 04:00:04.898628,0 days 00:00:00.702383,32,0.30939451412267827,0.2307781730406811,256,0.0004794124476850725,4,3,2.4361712088195544e-05,PRUNED
108,0.47915407151479344,2025-12-23 04:00:04.898773,2025-12-23 04:00:06.309997,0 days 00:00:01.411224,16,0.376206088863741,0.38486917738619486,768,6.264639814859392e-05,8,1,4.185017628033559e-06,PRUNED
109,0.4263458308206996,2025-12-23 04:00:06.310155,2025-12-23 04:00:06.994880,0 days 00:00:00.684725,32,0.2390181283144427,0.07242695074600572,384,0.00023477044143304014,8,3,6.952142241095146e-07,PRUNED
110,0.5388104690976038,2025-12-23 04:00:06.995034,2025-12-23 04:00:10.844974,0 days 00:00:03.849940,16,0.2755280576617489,0.3506594166559976,256,0.00011177718768264922,8,2,2.3626702835205536e-06,PRUNED
111,0.46738712129085935,2025-12-23 04:00:10.845130,2025-12-23 04:00:12.878750,0 days 00:00:02.033620,16,0.22168741549803778,0.16844943223656103,768,4.202148027994139e-05,4,3,4.841529837666569e-05,PRUNED
112,0.44195479725900627,2025-12-23 04:00:12.878921,2025-12-23 04:00:15.028768,0 days 00:00:02.149847,16,0.16664765248534164,0.13247520677988345,768,0.00014827579828413743,4,3,0.00038346551465284604,PRUNED
113,0.4186895947282021,2025-12-23 04:00:15.028933,2025-12-23 04:00:16.202764,0 days 00:00:01.173831,16,0.33159935910665905,0.09785960323269705,768,4.074619837378242e-05,4,3,1.5058239630490195e-05,PRUNED
114,0.40101675032348194,2025-12-23 04:00:16.202922,2025-12-23 04:00:17.368800,0 days 00:00:01.165878,16,0.2560566075670053,0.02822909922499582,768,0.00012608707463862735,4,3,5.822409168954522e-06,PRUNED
115,0.31976723219869,2025-12-23 04:00:17.368961,2025-12-23 04:00:18.104402,0 days 00:00:00.735441,64,0.297976298594296,0.11737712978390333,768,3.516524552070269e-05,4,3,2.4113818917246543e-07,PRUNED
116,-0.051758767828137944,2025-12-23 04:00:18.104549,2025-12-23 04:00:18.664700,0 days 00:00:00.560151,128,0.1026971782004169,0.08450767437796422,256,7.125089865857676e-05,8,3,0.00016864188519426346,PRUNED
117,0.3481006333720447,2025-12-23 04:00:18.664841,2025-12-23 04:00:19.359924,0 days 00:00:00.695083,32,0.224595466789694,0.19409209078084283,384,9.632396404171693e-05,4,3,8.25654218993682e-05,PRUNED
118,0.5165275692352777,2025-12-23 04:00:19.360063,2025-12-23 04:00:22.680836,0 days 00:00:03.320773,16,0.8554211071852915,0.04976623434999629,512,4.906531676760802e-05,8,3,3.225618891056068e-05,PRUNED
119,0.22984399577898665,2025-12-23 04:00:22.680993,2025-12-23 04:00:23.605601,0 days 00:00:00.924608,16,0.14753060598819462,0.20861093482347137,256,0.0012673540282739182,8,3,2.0232445912931022e-05,PRUNED
