task,repr,model,run,trial_index,f1,best_so_far,auc,ap,threshold,kind_hint
halflife,wt,xgb_log,xgb_wt_log,95,0.6470489963672001,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,96,0.688451919984562,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,97,0.5300906139586428,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,98,0.708297949487099,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,99,0.6751071760087181,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,100,0.529481304974462,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,101,0.5499280269943168,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,102,0.5644370775347674,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,103,0.536936743955105,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,104,0.5285822762962507,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,105,0.6867410553722743,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,106,0.7110353328667594,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,107,0.7089822953320141,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,108,0.5697086237968587,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,109,0.6887940929070194,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,110,0.6439694400650823,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,111,0.644995958832455,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,112,0.6600515674205863,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,113,0.6716854467841425,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,114,0.533382212503862,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,115,0.6494442068244028,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,116,0.6764758676985482,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,117,0.6918736492091372,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,118,0.5668087434781488,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,119,0.5569490379828164,0.7110353328667594,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,120,0.7147992350137922,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,121,0.6306246960892384,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,122,0.6949532055112551,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,123,0.6268607939422055,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,124,0.7035075285726934,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,125,0.6429429212977097,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,126,0.6874254012171893,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,127,0.644995958832455,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,128,0.6165956062684794,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,129,0.6792132510782085,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,130,0.6946110325887976,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,131,0.6911893033642221,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,132,0.6929001679765099,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,133,0.546792330087142,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,134,0.7072714307197264,0.7147992350137922,NA,NA,NA,regression
